a lot	a lot: adv. muito
probability	 n probabilidade. in all pro­bability com toda probabilidade. theory of proba­bility cálculo da probabilidade. the probability is that, there is a probability of, there is a proba­bility that é provável que.
probable	adj 1 provável, verossímil. 2 presumível. the probable author of a book o autor presumível de um livro. 
probably	adv provavelmente.
probe	 n 1 Surg tenta, sonda. 2 Amer sindi­cân­cia, inquérito. • vt+vi 1 Surg tentear, sondar. 2 in­vestigar, sindicar, inquirir. 3 aprofundar, esquadrinhar.
problem	 n problema, questão, caso intricado, enigma, charada. it is a problem to me / constitui problema para mim. this sets me a problem / isso me coloca diante de um problema. we were brought up against the problem / vimo-nos diante do problema. • adj que constitui problema, que causa dificuldade. no problem sem problema.
procedure	 n 1 procedimento: a) método, modo. b) comportamento, conduta. 2 prosseguimento, continuação. 3 uso, norma, 4 Jur processo.
proceed	vi 1 proceder: a) prosseguir, continuar. b) derivar-se, originar-se, emanar, provir (from, out of, de). the noise proceeded from the adjoining room / o barulho provinha da sala ao lado. c) agir, obrar. d) ter seguimento. e) Jur instaurar processo contra. he proceeded against his partner / ele instaurou processo contra seu sócio. 2 ocorrer, ter lugar. he proceeded on his voyage / ele prosseguiu viagem. 3 reatar (discurso). 4 obter um grau acadêmico. he proceeded to the degree of... / ele obteve o grau de...
process	 n 1 processo: a) progresso, curso, marcha. b) decurso, decorrer, passagem. c) encadeamento de sucessos. d) série de fenômenos alternados. e) técnica, sistema, método. f) ação judicial. 2 Jur citação, mandato. 3 derivação, emanação, proveniência. 4 Anat, Zool apófise, protuberância. 5 processos fotomecânicos. • vt 1 processar: instaurar processo contra. 2 submeter a um processo químico ou físico. 3 beneficiar, manipular, transformar. 4 preservar ou esterilizar por meio de pressão. 5 copiar por meios fotomecânicos. 6 reproduzir por fotogravura. • adj 1 beneficiado, manipulado. 2 submetido a processo químico ou físico. 3 empregado em processo fotomecânico. in process em curso, em andamento. in process of construction em construção. in process of time no decorrer do tempo. process of decomposition processo de decomposição. process of manufacture processo de fabricação. n Comp processo: 1 termo genérico que designa operações tais como o cálculo, a montagem, a compilação, a interpretação, a classificação, a geração, a comparação, etc. 2 em geral, qualquer operação ou combinação de operações efetuada com os dados, segundo um procedimento estabelecido. • vt Comp processar. process control computer Comp computador de controle de processos. vi coll desfilar em procissão.
procession	 n 1 procissão. 2 cortejo, desfile, préstito. 3 progressão, marcha. 4 Theol processão. funeral procession cortejo fúnebre.
proclaim	vt 1 proclamar: a) apregoar. b) promulgar, decretar. c) publicar. d) declarar. e) aclamar, eleger. they proclaimed him king / proclamaram-no rei. 2 proibir (comício, reunião, etc.). 3 interditar (distrito). 4 proscrever. 5 manifestar, evidenciar. to proclaim war declarar guerra.
procreation	 n 1 procriação, geração, reprodução. 2 progênie, descendência, prole.
prodigally	 adv prodigamente.
prodigy	n prodígio: 1 maravilha, milagre. 2 portento. 3 criança precoce.
produce	 n 1 produto. 2 fruto. 3 artigo, manufatura. 4 proveito, resultado, lucro. 5 conseqüência, efeito. 6 cria, produção. • [pr2dj´u:s] vt 1 produzir: a) apresentar, exibir. the ticket must be produced on demand / o bilhete deve ser exibido quando for exigido. b) gerar, originar. c) dar, fornecer. d) render, dar lucro. e) fabricar, manufaturar. f) fazer, realizar. a photograph produced by my sister / uma fotografia feita por minha irmã. g) causar, acarretar, motivar. h) criar, idear. 2 Geom estender, prolongar. 3 introduzir, apresentar (peça teatral ou ator). net produce lucro líquido. produce of the country produtos agrícolas. vice produces misery o vício gera a miséria.
producer	 n 1 produtor: a) gerador, criador. b) lavrador, agricultor. c) fabricante, manufator. d) realizador. e) produtor, financiador de peça teatral. 2 Tech gerador de gás, gasogênio.
product	 n produto: 1 fruto. 2 criação. 3 artigo, manufatura. 4 resultado, rendimento. 5 Math resultado da multiplicação. 6 conseqüência, efeito. perishable products produtos perecíveis.
production	 n 1 produção: a) fabricação, manufatura. b) exposição, apresentação (de documentos, testemunhas, etc.). c) obra, criação, realização, produto. d) obra literária ou artística. e) Theat exibição, encenação. 2 Geom prolongamento, extensão. mass production produção em série. to make a production out of something fazer alarde sobre alguma coisa a fim de que pareça mais importante do que é.
profession	 n profissão: a) confissão, declaração. b) ocupação, emprego (especialmente liberal). c) tomada de votos. d) categoria profissional. e) fé, religião, credo. by profession de profissão. profession of faith profissão de fé.
professional	 n profissional. • adj profissional. he is a professional trouble maker / ele é um causador de problemas profissional.
professionally	adv profissionalmente.
professor	 n professor universitário.
profile	 n 1 perfil. 2 contorno. 3 seção vertical. 4 corte, seção. 5 esboço biográfico. • vt 1 perfilar: a) traçar o perfil de. b) dar um perfil a. c) moldar, modelar. d) contornar. 2 retratar em esboço biográfico. to keep a low profile evitar chamar a atenção sobre si próprio.
profit	 n 1 lucro, ganho, rendimento. they made a profit on it / obtiveram lucro disto. 2 proveito, vantagem, benefício, bem. it’s for your own profit / é para seu próprio bem. • vt+vi 1 aproveitar, tirar proveito de. he profited by an opportunity / ele se aproveitou de uma oportunidade. 2 lucrar, ganhar. 3 beneficiar, favorecer. my teachings profited him / meus ensinamentos lhe foram proveitosos. 4 ser vantajoso ou lucrativo. at a profit of com um lucro de.
profound	adj profundo: 1 muito fundo, inescrutável. 2 sagaz, culto. 3 intenso, entranhado. 4 completo, total.
profoundly	adv profundamente. 
prognosis	 n 1 profecia, vaticínio. 2 Med prognóstico, prognose.
program	 n Amer 1 programa: a) impresso informativo sobre um espetáculo. b) execução ou desenrolar de um espetáculo. c) projeto, plano. 2 prole­gômenos, prefácio. 3 Comp programa. • vt programar. program of government programa de governo. school lunch program merenda escolar. to draw up a program estabelecer um plano de trabalho. what is the program for today? que faremos hoje?
programme	n Brit = program.
programming	n Comp programação: 1 processo que compreende o projeto, escrita e teste de um programa. 2 arte de reduzir as instruções detectáveis por máquina, o plano para a resolução de um problema. language programming linguagem artificial estabelecida para expressar programas de computação.
progress	 n 1 progresso: a) progressão, curso, avanço. he has been making progress / ele tem feito progressos. b) desenvolvimento, aperfeiçoamento, melhoria. 2 jornada, caminhada. • [pr2gr´es] vi progredir: 1 avançar, adiantar-se. 2 evolver, evoluir, desenvolver-se. 3 prosseguir, continuar. in progress em desenvolvimento. to report progress fornecer um relatório sobre o andamento de...
progression	 n 1 progressão: a) avanço, curso. b) Math série de números entre os quais há uma razão constante. 2 sucessão, seqüência. 3 progresso, desenvolvimento. 4 Mus sucessão de sons ou de acordes. arithmetical progression progressão aritmética. geometrical progression progressão geométrica.
progressive	 adj 1 progressivo: a) que avança, que se locomove. b) gradual, sucessivo. c) que melhora, evolutivo. 2 progressista.
progressively	adv progressivamente.
prohibition	 n 1 proibição. 2 interdição.
project	 n projeto: 1 plano, desígnio, intento. 2 esquema, esboço, planta. • [pr2d9´ekt] vt+vi projetar: 1 arremessar, lançar, arrojar. 2 planear, idear. 3 tornar proeminente ou saliente. 4 fazer incidir sobre. 5 representar por meio de projeção. 6 prolongar-se, estender-se, ressaltar.
projection	 n 1 projeção: a) arremesso, lançamento. b) planeamento, planejamento. c) ressalto, sacada, saliência. d) Geom representação de uma figura sobre um plano. e) Geogr representação de uma parte da terra ou da abóbada celeste sobre um plano. f) exibição de uma imagem sobre uma tela. g) Psych ação de exteriorizar aquilo que é essencialmente subjetivo. 2 ejeção. 3 fig transmutação.
prolapse	 n Med prolapso, procidência. • vi sofrer prolapso.
prole	n coll proletário: membro da classe operária.
promenade	 n 1 passeio. 2 Braz coll calçadão (de praia). 3 passeio, calçada. 4 baile estudantil. 5 desfile de abertura em um baile de gala. • vt+vi 1 passear. 2 exibir-se.
promise	 n promessa: 1 compromisso, prometimento, palavra. she made (ou gave) a solemn promise / ela fez uma solene promessa. 2 coisa prometida. 3 fig esperança. • vt+vi prometer: 1 empenhar a sua palavra, comprometer-se a. 2 assegurar, afiançar. I promise you / eu lhe prometo, eu lhe asseguro. 3 pressagiar, indicar. 4 dar motivo a esperanças. we promised him help / prometemos-lhe ajuda. of great promise muito prometedor. promise of help promessa de auxílio.
promote	 vt 1 promover: a) elevar a cargo, posto ou situação superior. he was promoted captain / ele foi promovido a capitão. b) fomentar, favorecer. 2 Chess transformar um peão em figura.
promoter	 n 1 promotor, fomentador. 2 patrocinador. 3 organizador de empresas comerciais.
promotion	 n 1 promoção: a) elevação a situação superior. b) fomento, estímulo. 2 organização de empresas comerciais. 3 Amer aumento de vendas mediante propaganda.
prompt	 n 1 Com prazo de pagamento. 2 lembrete. • vt 1 incitar, instigar. 2 induzir, mover, impelir a. 3 lembrar a, fazer recordar. 4 Theat servir de ponto a. 5 sugerir, inspirar, motivar. • adj 1 pronto: a) preparado, alerta. b) imediato, breve. c) pontual. d) ligeiro, rápido, ativo. e) disposto, inclinado. 2 Theat relativo a ponto. • adv pontualmente, em ponto. the meeting will begin at 7 o’clock prompt / a reunião começará às 7 em ponto. prompted by induzido por, movido por.
pronominal	 adj Gram pronominal.
pronounce	vt+vi 1 pronunciar: a) articular, proferir. b) declarar, decretar. the judge pronounced the verdict / o juiz anunciou (pronunciou) o veredito. c) afirmar, proclamar. d) declamar, recitar. e) julgar. 2 manifestar-se, pronunciar-se. he was asked to pronounce on the book / ele foi convidado a manifestar-se sobre o livro.
proof	 n 1 prova: a) demonstração, evidência. b) verificação, comprovação. c) exame, ensaio, experiência. d) testemunho. e) comprovante. f) documento justificativo. g) folha impressa para correções tipográficas. h) Math operação para verificar a exatidão de um cálculo. 2 firmeza, dureza, impenetrabilidade. 3 teor alcoólico. 4 tubo de ensaio. • vt 1 provar: experimentar. 2 impermeabilizar. • adj 1 à prova de, resistente, seguro, impenetrável. 2 de prova, probatório. 3 experimentado, provado. bomb proof à prova de bombas. fire-proof incombustível. in proof of como prova de. proof against entreaty inexorável. the proof of the pudding is in the eating só a experiência comprova. to afford a proof fornecer uma prova. to put to the proof pôr à prova. water-proof impermeável.
propaganda	n propaganda política. to carry on a vigorous propaganda for fazer propaganda intensa a favor de.
propagate	vt 1 propagar: a) reproduzir. b) difundir, disseminar. c) transmitir, conduzir. d) multiplicar-se por geração. 2 transmitir à prole. to propagate religion propagar a religião.
propagator	 n propagador.
proper	 adj 1 próprio: a) peculiar, distintivo, característico. b) apropriado, adequado, oportuno. c) exato, correto. d) Gram particular, privativo. 2 propriamente dito. 3 fino, excelente. 4 inerente. 5 decente, decoroso, respeitável. 6 Her representado na cor natural. it is proper for her / é apro­priado para ela. 7 sl completo, rematado, consumado. at the proper time na ocasião oportuna. we think it proper julgamo-lo adequado.
properly	adv 1 propriamente, particularmente. 2 corretamente, devidamente. 3 convenientemente, adequadamente. 4 bem, com bom comportamento. 5 sl completamente, em regra.
property	 n 1 propriedade: a) qualidade inerente, característica, caráter. b) qualidade adquirida. c) pertence, posses. my uncle is a man of large property / meu tio é um homem de largas posses. d) bens de raiz (casas, prédios, fazendas, sítios, etc.). 2 peculiaridade. 3 direito de posse, domínio. 4 Log atributo. 5 properties pl Theat acessórios usados em uma produção teatral, excluindo o cenário e as roupas.
prophet	 n 1 profeta. 2 Poet vidente, adivinho. 3 vaticinador, prognosticador. 4 Ent pop louva-a-deus. 5 Profeta, Maomé (fundador do Isla­mismo).
propitiously	adv de modo propício.
proportion	 n 1 proporção: a) relação, razão. b) extensão, tamanho. c) disposição regular, harmonia, simetria. d) conformidade, analogia. e) Math igualdade entre duas ou mais razões. 2 proportions dimensões. 3 proportions quota, parte, porção. • vt proporcionar: 1 tornar proporcional. 2 harmonizar. in due proportion na justa proporção. in proportion to, in proportion with 1 em proporção, proporcionalmente. 2 à proporção, à medida. it bears no proportion to não está em nenhuma proporção com. out of proportion fora de proporção, desproporcionado.
proposal	 n proposta: 1 proposição, moção, sugestão. 2 oferta, oferecimento. we placed our proposals before him / submetemos-lhe nossas propostas. 3 pedido de casamento. conciliatory proposal proposta conciliatória. to have a proposal receber um pedido de casamento. to make pro­po­sals of peace fazer ofertas de paz.
propose	vt+vi propor: 1 expor, apresentar, submeter a. we proposed him as a candidate / apresentamo-lo como candidato. 2 intentar, tencionar. 3 sugerir, alvitrar. 4 indicar. 5 brindar. he proposed a toast to / ele levantou um brinde a. 6 declarar-se, pedir em casamento. he proposed marriage to her / ele lhe propôs casamento. he proposed to the lady / ele se declarou à senhora. man proposes, God disposes o homem põe e Deus dispõe.
proposer	 n proponente.
proposition	 n 1 proposição: a) proposta, oferta, oferecimento. b) moção. c) afirmação. d) Log sentença, máxima. e) Math teorema. f) Math problema. g) Rhet ponto a ser debatido ou sustentado. 2 Amer projeto, plano. 3 Amer coll caso, assunto, negócio, em­preendimento. 4 Amer coll artigo, mercadoria. 5 Amer coll freguês, indivíduo. 6 Mus enunciação de um tema, tema de uma fuga. 7 sl proposta indecorosa. • vt fazer uma proposta indecorosa.
proprietorial	 adj proprietário: que tem a propriedade de alguma coisa.
prospect	 n 1 perspectiva. 2 vista para. 3 cena, paisagem, panorama. 4 antecipação. 5 expectativa, probabilidade. what are my prospects? / quais são as minhas probabilidades? 6 interessado, pretendente. 7 Min indício da existência de veios de minério, local da existência de tais indícios, amostra de minério. 8 prospects chance de futuro sucesso. • [prasp´ekt] vt+vi explorar em busca de minério. to hold out a prospect of dar esperanças de.
prospective	 adj 1 em perspectiva, esperado, aguardado. 2 relativo ao futuro.
prosperity	 n prosperidade, fortuna, flores­cimento.
prostitute	 n 1 prostituta, meretriz. 2 pessoa venal. • vt 1 prostituir. 2 aviltar, degradar, desonrar. 3 prostituir-se. • adj 1 prostituído. 2 venal, corrupto.
prostitution	 n 1 prostituição, meretrício. 2 aviltamento, degradação.
protagonist	 n 1 protagonista de um romance, peça teatral ou outra obra literária. 2 advogado, defensor. 3 coll adversário, contendor.
protect	vt 1 proteger: a) defender, amparar, salvaguardar. protect my interests! / proteja os meus interesses! b) favorecer, beneficiar. 2 garantir o pagamento de (títulos).
protection	n 1 proteção: a) defesa, sal­va­guarda, amparo. b) abrigo, resguardo. c) protetor. d) Econ favorecimento da indústria nacional mediante tarifas aduaneiras. 2 coll proteção fictícia dada a casas comerciais por malfeitores que extorquem dinheiro de seus proprietários sob pretexto de protegê-los.
protectionism	 n Econ protecio­nismo.
protectionist	 n protecionista. • adj protecionista.
protective	 adj 1 protetor, protetivo. 2 prote­cionista.
protein	n Biochem proteína. • adj proteí­nico.
protest	 n protesto: 1 protestação, declaração, afirmação. 2 reclamação, queixa. 3 objeção. 4 Com ação de protestar um título. • [pr2t´est] vt+vi protestar: 1 afirmar, declarar, asseverar. 2 reclamar, queixar-se. 3 objetar. 4 insurgir-se, dissentir. 5 Com levar a protesto (título). in protest against em sinal de protesto contra. protest meeting reunião de protesto. under protest sob protesto. we enter (lodge, make) a protest with levantamos um protesto junto a.
protestant	Protestant: n. protestante
protocol	 n protocolo, registro, minuta. • vt+vi 1 escrever protocolos. 2 protocolizar.
prototypical	adj = prototypic.
proud	 adj 1 orgulhoso: a) vaidoso, soberbo, arrogante. b) ufano. c) altivo, altaneiro. 2 magnífico, suntuoso, imponente. 3 esplêndido, admirável. 4 fogoso (montaria). 5 impetuoso (rio, torrente). a proud building uma construção suntuosa. my proudest possession o objeto mais valioso e querido que possuo. proud as a peacock empavonado. they did him proud 1 encheram-no de orgulho. 2 acolheram-no magnificamente. to be proud of orgulhar-se de.
prove	vt+vi 1 provar: a) experimentar, submeter a prova. b) demonstrar, patentear, comprovar. she proved herself a good daughter / ela demonstrou ser boa filha. c) dar a prova de. the news proves them true / os fatos dão-lhes razão. d) evidenciar-se, patentear-se. it proved to be correct / evidenciou-se certo. e) Arith tirar a prova de. 2 Typogr imprimir provas. 3 vir a ser. the exception proves the rule a exceção confirma a regra. to prove out ser bem-sucedido, obter sucesso. to prove true confirmar-se.
provide	vt+vi 1 prover: a) abastecer, aprovisionar, munir (with, com). he is well provided / ele está bem provido. b) suprir, proporcionar. c) fornecer, produzir, dar. I provided him the book / arranjei-lhe o livro. d) providenciar, tomar providências. e) preparar de antemão. f) prevenir-se, precaver-se. 2 arranjar, conseguir. 3 estabelecer, estipular. it is provided by law / está estipulado por lei. to provide against preparar-se com antecedência. to provide for 1 sustentar (dar comida, dinheiro, etc). he provides for his old mother / ele sustenta sua velha mãe. 2 preparar-se com antecedência, prevenir-se.
provided	 adj 1 provido, equipado, munido. 2 fornecido, transmitido. 3 pronto. • conj contanto que, desde que.
provider	 n provedor, mantenedor, sus­ten­tador.
province	 n província: 1 divisão territorial. 2 região, distrito. 3 ramo de conhecimento, campo. that is not within his province / isto não é da sua alçada. 4 interior. 5 Eccl arcebispado.
provincial	 n 1 provinciano, interiorano. 2 Eccl provincial. • adj 1 provinciano, interiorano. 2 rude, rústico. 3 restrito, limitado, estreito.
provincially	adv provincialmente, provincianamente.
provision	 n 1 provisão: a) abastecimento, aprovisionamento. b) fornecimento, suprimento. c) provisions mantimentos, vitualhas. d) prescrição, disposição, cláusula. e) previdência, precaução. 2 preparativo, providência. • vt abastecer, aprovisionar. provision of funds cobertura de fundos. to make provisions for a) tomar providências para. b) fazer preparativos para.
provisional	 adj provisional, provisório, temporário.
provisionally	adv provisionalmente, provisoriamente.
provocation	 n provocação: 1 desafio. 2 incitamento, estímulo, instigação. 3 motivo, causa. under provocation sob provocação.
provoke	vt provocar: 1 desafiar, afrontar. 2 insultar, ofender. 3 irritar, exasperar. 4 incitar, instigar, estimular. 5 ocasionar, causar, motivar. they provoked him to anger / levaram-no à exasperação. 6 causar provocação ou exasperação.
prowess	 n 1 coragem, bravura, valor. 2 façanha, proeza. 3 destreza, perícia.
proximate	 adj próximo: 1 vizinho, adja­cente, perto. 2 imediato, seguinte.
prpers	prpers: prn.obj.p3.nt.sg. o, prpers: prn.obj.p3.nt.sg. o, prpers: prn.obj.p1.mf.sg. mim
prudence	 n prudência, cautela.
psephology	n estudo de como as pessoas votam nas eleições.
pseudonymous	 adj pseudônimo.
psychoanalytic	 adj psicanalítico.
psychodrama	n Psych psicodrama.
psychological	adj = psychologic.
psychologically	adv psicologicamente.
psychologist	n psicólogo.
psychometric	 adj psicométrico.
psychopathology	 n psicopa­tologia.
pubes	 n 1 pêlos púbicos, cabelos das partes pudendas. 2 Anat púbis.
pubis	 n Anat púbis: parte ínfero-anterior do osso ilíaco.
public	 n público: a) povo. b) auditório, assistência. • adj público: a) comum. b) popular. c) notório, conhecido. at public expense às custas do Estado. in public em público, publicamente. in the public eye à vista de todos. public call box telefone público.
publication	 n publicação: 1 proclamação, promulgação. 2 editoração. 3 livro, jornal, folheto, revista, matéria impressa. list of new publications aviso de novidades literárias. monthly publication publicação mensal, mensário.
publicity	 n publicidade: 1 notoriedade. 2 propaganda. 3 anúncios. no publicity! discrição absoluta! we gave publicity to it levamo-lo ao conhecimento público.
publicly	adv publicamente, abertamente.
publish	vt+vi 1 publicar: a) divulgar, difundir, espalhar. b) promulgar, proclamar. c) Eccl afixar proclama. he published the book at his own expense / ele editou o livro por conta própria. d) no­ticiar, informar. e) editar. 2 Amer pôr em circulação. 3 Jur reconhecer como autêntico (testamento). desktop publishing Comp editoração eletrônica.
publisher	 n publicador, editor.
puce	 n marrom-arroxeado, castanho-aver­melhado (cor). • adj de cor marrom- arroxeada, castanho-avermelhada.
pud	n vulg caralho, pau, pênis.
pudendum	 n Anat partes pudendas.
puffer	 n 1 assoprador. 2 pessoa ofegante. 3 locomotiva ou navio a vapor. 4 fumante. 5 Ichth baiacu. 6 Zool marsopa, toninha, roaz.
pull	 n 1 puxão, tirão. 2 arranco, arrancada. 3 força de tração. 4 atração, atrativo. 5 trago, gole, sorvo. he took a pull at the bottle / ele tomou um trago da garrafa. 6 tragada. 7 vantagem. she has a pull over him / ela tem uma vantagem sobre ele. 8 pop remada. 9 esforço. 10 puxador, maçaneta. 11 Amer influência. 12 Mech tração. 13 Typogr prova. • vt+vi 1 puxar. I pulled him by the hair / puxei-o pelos cabelos. 2 arrastar, rebocar. 3 colher (frutas ou flores). 4 tirar, remover. 5 depenar. 6 sl roubar, furtar, trapacear. 7 esbaganhar (linho). 8 arrancar, extrair (dentes). 9 granjear, obter. 10 tragar, sorver. 11 rasgar, romper, dilacerar. 12 sl prender, deter. 13 sl varejar, dar uma batida. 14 sl sacar, tirar. he pulled a pistol / ele sacou de um revólver. 15 sofrear, refrear (cavalo de corrida). 16 Typogr imprimir provas. 17 remar. 18 conduzir em barco a remos. 19 ser equipado com remos. 20 Sports distender. 21 esticar, estirar. 22 sl fazer, realizar, executar. 23 aspirar, chupar. 24 sl prender, ser levado para a prisão. a pull boner dar uma rata, dar uma mancada, cometer uma gafe, errar. pull the other one, it’s got bells on conta outra. to pull about puxar de um lado para outro, judiar de. to pull a face amarrar a cara, mostrar que não gostou pela expressão do rosto. to pull a fast one passar a perna em alguém. to pull apart 1 romper. 2 romper-se. to pull away 1 remover. 2 retirar-se, sair. to pull back 1 retroceder, recuar. 2 não cumprir promessa feita, não cumprir a palavra empenhada. 3 gastar menos dinheiro, economizar. to pull down 1 demolir, arrasar. 2 fazer baixar. 3 enfraquecer. 4 humilhar, abater. to pull in 1 dirigir um veículo em direção a um lugar e parar. 2 entrar na estação e parar (trem). 3 Brit capturar (bandido). 4 coll ganhar muito dinheiro, juntar. 5 atrair grande número de pessoas. to pull off 1 despir, tirar. 2 descalçar. 3 conseguir, obter sucesso. 4 dar partida (carro), sair. 5 sair da estrada (carro). to pull on 1 vestir, pôr. 2 calçar. to pull oneself together readquirir o domínio de si mesmo, reanimar-se, recompor-se, controlar-se. to pull out 1 tirar, arrancar. 2 sair da estação (trem). 3 sair de um lugar (carro). to pull over encostar ao meio-fio, desviar o carro para a margem da estrada. to pull round convalescer, restabelecer-se, recobrar os sentidos. to pull through 1 tirar de dificuldades. 2 sair-se de aperto, livrar-se. 3 conseguir, ser bem-sucedido. to pull to pieces 1 despedaçar. 2 criticar impiedosamente. to pull together cooperar, colaborar, juntar forças. to pull up 1 levantar, erguer, içar, alçar. 2 arrancar, extirpar, desarraigar. 3 prender, deter. 4 censurar, repreender. 5 fazer parar. to pull up stakes coll levantar acampamento.
pull out	 n 1 retirada (também Mil e Aeron). 2 encarte de revista.
pulse	 n 1 pulso. we felt his pulse / tomamos-lhe o pulso. 2 pulsação. 3 vibração, trepidação. 4 tendência, disposição. • vi 1 pulsar, palpitar, latejar. 2 vibrar. 3 Poet fazer pulsar. n grãos de leguminosa.
pulverizer	 n 1 pulverizador. 2 vapo­rizador, atomizador. 3 triturador. 4 Agric grade pulverizadora. 5 britador de carvão.
pump	 n 1 bomba de ar, de água ou de gasolina. 2 sandálias ou sapatilhas. 3 coll coração. • vt+vi 1 elevar por meio de bomba, bombear. 2 emitir, lançar, arrojar. 3 esgotar por meio de bomba. 4 sondar, perquirir. 5 arrancar, extrair, obter. 6 encher (pneumáticos). 7 latejar, pulsar. 8 arquejar, ofegar, arfar. 9 vulg trepar, foder, ter relação sexual. he is pumped out ele está esgotado. pumped up em um estado de extrema excitação. pump him for interrogue-o sobre. they pumped out his stomach fizeram-lhe lavagem estomacal. to pump out produzir ou fornecer em grandes quantidades. to pump up the music/volume, etc. tocar música num volume bem alto.
punctiliousness	 n meticulosidade.
punctual	 adj pontual, exato.
punish	vt 1 punir: a) castigar. b) inflingir pena a. 2 ferir, machucar. 3 sl foder, trepar, ter relação sexual.
punishment	 n 1 punição: a) castigo. b) pena, penalidade. 2 pop tratamento rude ou severo. capital punishment pena de morte. for punishment como castigo.
punnet	n caixinha onde são colocadas frutas delicadas (morangos) para serem vendidas.
pupate	vi entrar em estado de pupa.
pupil	 n Anat pupila: menina do olho. n pupilo: aluno, educando.
puppet	 n 1 marionete, títere, fantoche. 2 pessoa que age industriada por terceiros.
purchase	 n 1 compra, aquisição: a) ato de comprar. b) coisa comprada. 2 ponto de apoio. • vt 1 comprar, adquirir. 2 obter, conseguir, granjear. 3 içar mediante emprego de talha, cabrestante, etc.
purchaser	 n comprador, adquirente.
purdah	n costume praticado nas sociedades hindu e muçulmana pelo qual as mulheres evitam a companhia de homens estranhos.
pure	 adj puro: a) genuíno, inalterado, estreme. b) mero, simples. c) completo, absoluto, total. d) correto, castiço, vernáculo. e) imaculado, inocente. f) casto, virginal. g) de raça. h) abstrato, teórico (ciências). i) Mus límpido, mavioso. pure and simple puro e simples. pure Portuguese português castiço.
purely	adv puramente: a) corretamente, de modo castiço. b) meramente, simplesmente. c) casta­mente, inocentemente. d) inteiramente, totalmente.
purportedly	purportedly: adv. pretensamente, purportedly: adv. supostamente
purpose	 n 1 propósito: a) desígnio, intento, intenção. b) sentido, objetivo, finalidade. it answered his purpose, it served his purpose / correspondia aos seus propósitos. c) proveito. it serves a purpose / é útil e pode ajudar a conseguir um resultado. 2 resolução, determinação. • vt tencionar, pretender, propor-se. for this purpose com esta finalidade. for what purpose? com que finalidade? it suited his purpose veio-lhe a calhar. of set purpose deliberadamente. on purpose de propósito. to good purpose utilmente, com bom efeito. to no purpose inutilmente, em vão, tendencioso. to serve its purpose servir seus propósitos. to talk at cross purposes não se entender, falar de coisas diferentes. to the purpose no ponto, relevante para o assunto em questão, pertinente.
purposelessly	adv em vão, debalde.
purposely	adv de propósito, propositadamente, intencionalmente, deliberadamente.
pursue	vt+vi 1 procurar, diligenciar. 2 perseguir, ir no encalço de. 3 seguir, adotar. 4 desempenhar, exercer. 5 prosseguir, continuar. 6 importunar, amolar. to pursue a course seguir um caminho.
pursuit	 n 1 perseguição, persecução, caça. 2 ocupação, atividade. 3 busca, procura. in pursuit of wealth em busca de fortuna. literary pursuits atividades literárias.
push	 n 1 empurrão, empuxão, repelão. give him a push / dê-lhe um empurrão. 2 esforço, tentativa. we made a push for the money / esforçamo-nos para obter o dinheiro. you should have another push for it / você deveria tentá-lo novamente. 3 emergência, conjuntura, dificuldade, apuro. 4 estocada. 5 impulso, estímulo. 6 apertão. 7 arremetida, investida, acometimento. 8 coll energia, dinamismo. 9 Mech compressão. 10 botão de pressão. • vt+vi 1 empurrar, empuxar. 2 impulsionar, fazer seguir. 3 arremeter, investir, acometer. 4 impelir, instigar, incitar. 5 estender, alargar, dilatar. 6 pressionar. 7 ativar, levar avante. she brought it to the last push / ela levou a situação ao extremo. 8 apressar, acelerar. 9 importunar, amolar. 10 abrir caminho. 11 esforçar-se, porfiar. 12 coll vender drogas. don’t push! não amole! don’t push it too far! não abuse! he pushed his way ele abriu seu caminho à força. I can do it at a push vou fazê-lo mas com dificuldade. push off! saia! retire-se! to push about, to push around dar ordens de maneira insultuosa, humilhar. to push ahead progredir. to push aside não dar importância. to push away, to push back repelir, rechaçar. to push in furar fila. to push off 1 desatracar. 2 fig começar, principiar, iniciar. 3 queimar, torrar (mercadorias). to push on 1 incitar, instigar. 2 apressar, acelerar. 3 continuar algo depois de uma pausa. to push open abrir empurrando (porta). to push out pôr para fora, produzir. to push over derrubar (uma pessoa). to push through levar a cabo, fazer com que seja aceito. to push up forçar a alta (preços).
pusillanimously	adv pusilanimemente, covardemente.
